[2013-10-6 15:58:26 23]  ModulePath: C:\Program Files\ViewEye\Client\nvtcodec\VideoLib.DLL [file:Config.cpp line:21]
[2013-10-6 15:58:29 26]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 26]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 29]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 29]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 29]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 29]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 29]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 29]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 34]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 34]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 38]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 38]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 42]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 42]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 46]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 46]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 46]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 48]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 48]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 49]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 51]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 51]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 54]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 55]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 55]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 56]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 56]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 56]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 59]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 59]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 59]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 60]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 61]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 61]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 63]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 63]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 63]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 68]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 71]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 71]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 75]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 76]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 76]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 76]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 79]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 79]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 80]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 81]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 82]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 82]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 84]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 84]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 84]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 86]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 87]  Not Find I Frame [file:CVideoElement.cpp line:3223]
[2013-10-6 15:58:29 87]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:29 90]  ***********padding=1, srcc1=160,padding_len=2************* [file:CVideoElement.cpp line:1482]
